Board,MCU,BSP
#STM Nucleo-32
NUCLEO-F031K6,STM32F031K6,
NUCLEO-F042K6,STM32F042K6,
NUCLEO-F303K8,STM32F303K8,
NUCLEO-L011K4,STM32L011K4,
NUCLEO-L031K6,STM32L031K6,
NUCLEO-L432KC,STM32L432KC,
#STM Nucleo-64
NUCLEO-F030R8,STM32F030R8,
NUCLEO-F070RB,STM32F070RB,
NUCLEO-F072RB,STM32F072RB,
NUCLEO-F091RC,STM32F091RC,
NUCLEO-F103RB,STM32F103RB,
NUCLEO-F302R8,STM32F302R8,
NUCLEO-F303RE,STM32F303RE,
NUCLEO-F334R8,STM32F334R8,
NUCLEO-F401RE,STM32F401RE,
NUCLEO-F410RB,STM32F410RB,
NUCLEO-F411RE,STM32F411RE,
NUCLEO-F446RE,STM32F446RE,
NUCLEO-L053R8,STM32L053R8,
NUCLEO-L073RZ,STM32L073RZ,
NUCLEO-L152RE,STM32L152RE,
NUCLEO-L476RG,STM32L476RG,
#STM Nucleo-144
NUCLEO-F207ZG,STM32F207ZG,
NUCLEO-F303ZE,STM32F303ZE,
NUCLEO-F412ZG,STM32F412ZG,
NUCLEO-F429ZI,STM32F429ZI,
NUCLEO-F446ZE,STM32F446ZE,
NUCLEO-F746ZG,STM32F746ZG,STM32F7xx_Nucleo_144
NUCLEO-F767ZI,STM32F767ZI,STM32F7xx_Nucleo_144
# STM Discovery
32F072BDISCOVERY,STM32F072RB,
32F0308DISCOVERY,STM32F030R8,
32F401CDISCOVERY,STM32F401VC,
32F411EDISCOVERY,STM32F411VE,
32F429IDISCOVERY,STM32F429ZI,
32F469IDISCOVERY,STM32F469NI,
32F746GDISCOVERY,STM32F746NG,STM32746G-Discovery
STM32F746G-DISCO,STM32F746NG,STM32746G-Discovery
32F769IDISCOVERY,STM32F769NI,STM32F769I-Discovery
32F3348DISCOVERY,STM32F334R8,
32L100CDISCOVERY,STM32L100RC,
32L152CDISCOVERY,STM32L152RC,
32L476GDISCOVERY,STM32L476VG,
32L0538DISCOVERY,STM32L053C8,
STM32F0DISCOVERY,STM32F051R8,
STM32F3DISCOVERY,STM32F303VC,
STM32F4DISCOVERY,STM32F407VG,
STM32VLDISCOVERY,STM32F100RB,
# STM32 MCU Eval Boards
STM3241G-EVAL,STM32F417IG
STM32469I-EVAL,STM32F469NI
STM32446E-EVAL,STM32F446ZE
STM3210E-EVAL,STM32F103Zx
STM32F779I-EVAL,STM32F779NI
STM32479I-EVAL,STM32F479NI
STM32091C-EVAL,STM32F091VC
STM32746G-EVAL,STM32F746NG
STM3220G-EVAL,STM32F207IG
STM32303E-EVAL,STM32F303VE
STM32756G-EVAL,STM32F756NG
STM32L152D-EVAL,STM32L152ZD
STM32L476G-EVAL,STM32L476ZG
STM3210C-EVAL,STM32F107VC
STM32429I-EVAL,STM32F429NI
STM32072B-EVAL,STM32F072VB
STM32373C-EVAL,STM32F373VC
STM32F769I-EVAL,STM32F769NI
STM32100E-EVAL,STM32F100ZE
STM32439I-EVAL,STM32F439NI
STM3221G-EVAL,STM32F217IG
STM3240G-EVAL,STM32F407IG
STM32L073Z-EVAL,STM32L073VZ
