Part Number,FLASH Size (kB) (Prog),Internal RAM Size (kB)
STM32F030C6,32,4
STM32F030C8,64,8
STM32F030CC,256,32
STM32F030F4,16,4
STM32F030K6,32,4
STM32F030R8,64,8
STM32F030RC,256,32
STM32F031C4,16,4
STM32F031C6,32,4
STM32F031E6,32,4
STM32F031F4,16,4
STM32F031F6,32,4
STM32F031G4,16,4
STM32F031G6,32,4
STM32F031K4,16,4
STM32F031K6,32,4
STM32F038C6,32,4
STM32F038E6,32,4
STM32F038F6,32,4
STM32F038G6,32,4
STM32F038K6,32,4
STM32F042C4,16,6
STM32F042C6,32,6
STM32F042F4,16,6
STM32F042F6,32,6
STM32F042G4,16,6
STM32F042G6,32,6
STM32F042K4,16,6
STM32F042K6,32,6
STM32F042T6,32,6
STM32F048C6,32,6
STM32F048G6,32,6
STM32F048T6,32,6
STM32F051C4,16,8
STM32F051C6,32,8
STM32F051C8,64,8
STM32F051K4,16,8
STM32F051K6,32,8
STM32F051K8,64,8
STM32F051R4,16,8
STM32F051R6,32,8
STM32F051R8,64,8
STM32F051T8,64,8
STM32F058C8,64,8
STM32F058R8,64,8
STM32F058T8,64,8
STM32F070C6,32,6
STM32F070CB,128,16
STM32F070F6,32,6
STM32F070RB,128,16
STM32F071CB,128,16
STM32F071RB,128,16
STM32F071V8,64,16
STM32F071VB,128,16
STM32F072C8,64,16
STM32F072CB,128,16
STM32F072R8,64,16
STM32F072RB,128,16
STM32F072V8,64,16
STM32F072VB,128,16
STM32F078CB,128,16
STM32F078RB,128,16
STM32F078VB,128,16
STM32F091CB,128,32
STM32F091CC,256,32
STM32F091RB,128,32
STM32F091RC,256,32
STM32F091VB,128,32
STM32F091VC,256,32
STM32F098CC,256,32
STM32F098RC,256,32
STM32F098VC,256,32
STM32F100C4,16,4
STM32F100C6,32,4
STM32F100C8,64,8
STM32F100CB,128,8
STM32F100R4,16,4
STM32F100R6,32,4
STM32F100R8,64,8
STM32F100RB,128,8
STM32F100RC,256,24
STM32F100RD,384,32
STM32F100RE,512,32
STM32F100V8,64,8
STM32F100VB,128,8
STM32F100VC,256,24
STM32F100VD,384,32
STM32F100VE,512,32
STM32F100ZC,256,24
STM32F100ZD,384,32
STM32F100ZE,512,32
STM32F101C6,32,6
STM32F101C8,64,10
STM32F101CB,128,16
STM32F101R4,16,4
STM32F101R6,32,6
STM32F101R8,64,10
STM32F101RB,128,16
STM32F101RC,256,32
STM32F101RD,384,48
STM32F101RE,512,48
STM32F101RF,768,80
STM32F101RG,1024,80
STM32F101T4,16,4
STM32F101T6,32,6
STM32F101T8,64,10
STM32F101TB,128,16
STM32F101V8,64,10
STM32F101VB,128,16
STM32F101VC,256,32
STM32F101VD,384,48
STM32F101VE,512,48
STM32F101VF,768,80
STM32F101VG,1024,80
STM32F101ZC,256,32
STM32F101ZD,384,48
STM32F101ZE,512,48
STM32F101ZF,768,80
STM32F101ZG,1024,80
STM32F102C4,16,4
STM32F102C6,32,6
STM32F102C8,64,10
STM32F102CB,128,16
STM32F102R4,16,4
STM32F102R6,32,6
STM32F102R8,64,10
STM32F102RB,128,16
STM32F103C4,16,6
STM32F103C6,32,10
STM32F103C8,64,20
STM32F103CB,128,20
STM32F103R4,16,6
STM32F103R6,32,10
STM32F103R8,64,20
STM32F103RB,128,20
STM32F103RC,256,48
STM32F103RD,384,64
STM32F103RE,512,64
STM32F103RF,768,96
STM32F103RG,1024,96
STM32F103T4,16,6
STM32F103T6,32,10
STM32F103T8,64,20
STM32F103TB,128,20
STM32F103V8,64,20
STM32F103VB,128,20
STM32F103VC,256,48
STM32F103VD,384,64
STM32F103VE,512,64
STM32F103VF,768,96
STM32F103VG,1024,96
STM32F103ZC,256,48
STM32F103ZD,384,64
STM32F103ZE,512,64
STM32F103ZF,768,96
STM32F103ZG,1024,96
STM32F105R8,64,64
STM32F105RB,128,64
STM32F105RC,256,64
STM32F105V8,64,64
STM32F105VB,128,64
STM32F105VC,256,64
STM32F107RB,128,64
STM32F107RC,256,64
STM32F107VB,128,64
STM32F107VC,256,64
STM32F205RB,128,64
STM32F205RC,256,96
STM32F205RE,512,128
STM32F205RF,768,128
STM32F205RG,1024,128
STM32F205VB,128,64
STM32F205VC,256,96
STM32F205VE,512,128
STM32F205VF,768,128
STM32F205VG,1024,128
STM32F205ZC,256,96
STM32F205ZE,512,128
STM32F205ZF,768,128
STM32F205ZG,1024,128
STM32F207IC,256,128
STM32F207IE,512,128
STM32F207IF,768,128
STM32F207IG,1024,128
STM32F207VC,256,128
STM32F207VE,512,128
STM32F207VF,768,128
STM32F207VG,1024,128
STM32F207ZC,256,128
STM32F207ZE,512,128
STM32F207ZF,768,128
STM32F207ZG,1024,128
STM32F215RE,512,128
STM32F215RG,1024,128
STM32F215VE,512,128
STM32F215VG,1024,128
STM32F215ZE,512,128
STM32F215ZG,1024,128
STM32F217IE,512,128
STM32F217IG,1024,128
STM32F217VE,512,128
STM32F217VG,1024,128
STM32F217ZE,512,128
STM32F217ZG,1024,128
STM32F301C6,32,16
STM32F301C8,64,16
STM32F301K6,32,16
STM32F301K8,64,16
STM32F301R6,32,16
STM32F301R8,64,16
STM32F302C6,32,16
STM32F302C8,64,16
STM32F302CB,128,32
STM32F302CC,256,40
STM32F302K6,32,16
STM32F302K8,64,16
STM32F302R6,32,16
STM32F302R8,64,16
STM32F302RB,128,32
STM32F302RC,256,40
STM32F302RD,384,64
STM32F302RE,512,64
STM32F302VB,128,32
STM32F302VC,256,40
STM32F302VD,384,64
STM32F302VE,512,64
STM32F302ZD,384,64
STM32F302ZE,512,64
STM32F303C6,32,16
STM32F303C8,64,16
STM32F303CB,128,40
STM32F303CC,256,48
STM32F303K6,32,16
STM32F303K8,64,16
STM32F303R6,32,16
STM32F303R8,64,16
STM32F303RB,128,40
STM32F303RC,256,48
STM32F303RD,384,80
STM32F303RE,512,80
STM32F303VB,128,40
